paper_id,first_author,year,venue,log_id,all_features_baseline,reports_dispersion,significance_test,hyperparam_ablation,evidence
FT_01,Xia,2020,IEEE TKDE (GBNRS),T1_01,0,0,0,0,"'original dataset' occurs only in granular-ball fitting discussion; no unreduced-accuracy column; no test; purity fixed at 1"
FT_02,Xia,2023,IEEE TNNLS (GBRS),T1_10,1,0,0,0,"'the column represents the classification accuracy obtained from the original unreduced dataset'; no dispersion; no test"
FT_03,Peng,2022,Information Sciences (VPGB),T1_18,0,0,0,0,"no unreduced baseline; zero 'acc +/- sd' patterns; no test; purity threshold PT fixed"
FT_04,Ji,2023,Information Sciences,,1,1,0,0,"'the original dataset has 7130 attributes with an accuracy of 80.54%'; 446 'acc +/- sd' entries; no test; 'the purity is set to 1'"
FT_05,Ye,2025,Information Sciences,,1,1,1,0,"'we also tested the classification effect without feature selection (Raw)'; 432 'acc +/- sd'; 'the Friedman test was conducted at a significance level of P = 0.05'"
FT_06,Li,2023,IJAR,,0,1,0,0,"no unreduced-accuracy baseline in results; 78 'acc +/- sd' entries; no test; threshold not varied"
FT_07,Xu,2022,Complex & Intelligent Systems,,0,0,1,1,"'Friedman test and corresponding post hoc will be carried out'; 'analyses the influence of different fuzzy neighborhood parameters'; no baseline; no dispersion"
FT_08,Xu,2022,Complex & Intelligent Systems (multi-label),,0,1,1,1,"'Friedman statistical test and Bonferroni-Dunn test are used'; 'influence of parameter'; dispersion in results tables; no unreduced baseline"
FT_09,Xu,2022,Complex & Intelligent Systems (streaming),,0,0,1,1,"'Friedman test and the corresponding post-hoc tests are performed'; 'parameter analysis' with 'different values of'; no baseline; no dispersion"
FT_10,Xia,2025,IEEE TFS (GBFRS),,0,0,0,0,"'+/-' appears 470x but 0 in result tables (math notation); varies label-noise percentage only, not its own hyperparameter; no test"
FT_11,Ding,2021,IEEE TETCI,,0,0,0,0,"'original dataset' refers to the 10-fold CV split, not a baseline; 2 '+/-' total; no test; no parameter study"
FT_12,Xie,2024,IEEE TETCI (GBG++),,0,0,1,1,"'the Wilcoxon rank-sum test is employed'; TABLE III Wilcoxon signed-rank; 'Parameter Sensitivity' subsection; no unreduced baseline"
FT_13,Ju,2023,IJAR (bi-directional adaptive NRS),T1_08,0,1,0,0,"'original data set' only in CV/method description; 150 'acc +/- sd' entries; no named test; radius adopted from Hu et al. without variation"
FT_14,Zhang,2025,Neural Networks (ANN multi-scale GB),T1_03,1,1,1,0,"'calculate the classification accuracy of the original dataset and ... under different algorithms'; results '(mean+/-std)'; Friedman + Nemenyi; method claimed parameter-free, no ablation"
FT_15,Chen,2021,KBS (GB guided selector),T1_17,0,0,1,0,"no unreduced accuracy reported; zero dispersion; 'Wilcoxon signed rank test was employed' (on elapsed time, Table 3); no parameter study"
FT_16,Sun,2025,EAAI (GB fuzzy multineighborhood),T1_04,0,0,1,0,"no unreduced baseline; 'standard deviation' only as a granule-radius device; Friedman + Nemenyi run; parameter settings only criticised in related work"
FT_17,Yang,2024,IEEE TFS (3WC-GBNRS++),T1_11,0,0,1,0,"'raw data'/'original dataset' only in method description; no dispersion; 'we utilize the Wilcoxon rank-sum test'; varies the comparison classifier's k, not its own hyperparameter"
FT_18,Xia,2022,IEEE TNNLS (efficient adaptive GB),T1_09,1,0,0,1,"'the last column represents the direct classification of the raw dataset using kNN'; no dispersion; no named test; 'purity was set from 0.54 to 1.0, with a step size'"
FT_19,Sun,2024,IEEE TFS (mayfly multiobjective),T1_02,0,0,1,1,"no unreduced baseline; no dispersion; 'Friedman test and its posttest ... shown in Tables V and VI in our supplementary material'; section 'H. Sensitivity Analysis of Parameters'"
FT_20,Xie,2024,IEEE TPAMI (MGNR),T1_13,0,0,0,0,"'original dataset' only in method text and figure captions; no dispersion; no test; 'parameter setting' only in motivation prose"
FT_21,Xia,2024,IEEE TFS (three-way approximations fusion),T1_20,0,0,1,1,"'sample space with all features' is sample selection, not a baseline; no dispersion; Friedman + Nemenyi post hoc; 'we set a group of K = [1..7]. For different values of K, the results ... Figs. 8 and 9'"
FT_22,Qian,2024,IJMLC (directional semi-neighborhood),T1_06,0,0,1,0,"no unreduced baseline; no dispersion; 'Friedman test is used and here we set the significance level as alpha = 0.05' (Table 5); no parameter study"
