paper_id,first_author,year,title,venue,citation_count,truc,relevance,failure_pattern,read_level,key_claim,key_finding,notes
T1_01,Xia,2020,GBNRS: A Novel Rough Set Algorithm for Fast Adaptive Attribute Reduction in Classification,IEEE TKDE,259,1,core,n/a,abstract,Granular ball thích ứng per-object thay hạt cố định,GB purity ≥ 2/3 → GBNRS nhanh và chính xác hơn NRS,Seed paper Trục 1; OpenAlex W3029713334; citation đã tăng từ 202 lên 259
T1_02,Sun Lin,2024,Granular Ball Fuzzy Neighborhood Rough Sets-Based Feature Selection via Multiobjective Mayfly Optimization,IEEE TFS,26,1,core,n/a,abstract,GB+fuzzy neighborhood RS+metaheuristic cho high-dim,two-stage: preselect bằng entropy rồi MO mayfly optimizer,12 high-dim datasets; Sun là tác giả lặp lại nhiều
T1_03,Zhang Lujing,2025,A novel ANN-based feature subset selection in multi-scale granular ball neighborhood decision tables,Neural Networks,7,1,core,A (component reuse),fulltext,Multi-scale GB + Wu-Leung model + ANN weights,Weight-based + positive region increment + unsupervised FS,Mới 2025; xử lý missing labels
T1_04,Sun Lin,2025,Granular ball-based fuzzy multineighborhood rough set for feature selection via label enhancement,EAAI,15,1,core,A (component reuse),fulltext,GB+adaptive fuzzy multineighborhood+label enhancement cho multilabel,Jaccard similarity on labels → purity of GB; label proportion + fuzzy decision similarity,14 multilabel datasets; mới Q1 2025
T1_05,Li Wentao,2023,Feature Selection Approach Based on Improved Fuzzy C-Means With Principle of Refined Justifiable Granularity,IEEE TFS,39,1,core,n/a,abstract,FCM-based binary relation + forward heuristic FS (FHFS),Degree of aggregation + dispersion; 9 high-dim + 8 image datasets,Đã trong outline; Li 2023 FHFS
T1_06,Qian Damo,2024,Attribute reduction based on directional semi-neighborhood rough set,IJMLC,16,1,core,n/a,abstract,Hạt bán-cầu hướng về mẫu đồng lớp thay hình tròn đối xứng,Neighbourhood approximation quality bằng upper approximation; tốt hơn gần biên lớp,Đã trong outline; Qian 2024
T1_07,Wang Changzhong,2020,Feature Selection Based on Neighborhood Self-Information,IEEE Trans. Cybernetics,227,1,core,n/a,abstract,Uncertainty measure kết hợp upper và lower approximation của NRS,Relative neighborhood self-information tốt hơn dependency đơn thuần,Citation cao (227); khai thác cả lower+upper approx; quan trọng cho §3
T1_08,Ju Hengrong,2023,Bi-directional adaptive neighborhood rough sets based attribute subset selection,IJAR,12,1,core,n/a,abstract,Lân cận k-NN hai chiều thích ứng + justifiable granularity cho k tối ưu,Non-monotonic neighborhood entropy → greedy algorithm nâng cấp,Kết hợp evidence theory cho k tối ưu
T1_09,Xia,2022,An Efficient and Adaptive Granular-Ball Generation Method in Classification,IEEE TNNLS,143,1,core,n/a,abstract,Tối ưu hóa việc sinh GB: nhỏ hơn+thích ứng hơn GBNRS gốc,Hiệu quả và chính xác hơn; TNNLS 2022,Cite GBNRS; 143c; top trong citation graph
T1_10,Xia,2023,GBRS: A Unified Granular-Ball Learning Model of Pawlak Rough Set and Neighborhood Rough Set,IEEE TNNLS,77,1,core,n/a,abstract,GBRS thống nhất Pawlak RS và NRS thành một khung chung,Common framework; reduction & classification,Quan trọng về kiến trúc: gộp hai nhánh; đọc full-text nếu §3 cần
T1_11,Xia,2024,3WC-GBNRS++: A Novel Three-Way Classifier With Granular-Ball Neighborhood Rough Sets Based on Uncertainty,IEEE TFS,87,1,core,n/a,abstract,Mở rộng GBNRS sang three-way decision dựa trên uncertainty,Three-way decision + GB + NRS; TFS 2024,Kết nối Trục 1 và three-way decision; 87c
T1_12,Xia,2022,An Efficient and Accurate Rough Set for Feature Selection Classification and Knowledge Representation,IEEE TKDE,71,1,core,n/a,abstract,RS mới dựa GB: efficient + accurate cho FS + classification + knowledge,TKDE 2022; 71c,Cần đọc abstract đầy đủ; có thể là bài GB-RS tổng quát
T1_13,Xie,2024,MGNR: A Multi-Granularity Neighbor Relationship and Its Application in KNN Classification and Clustering,IEEE TPAMI,57,1,core,n/a,abstract,Quan hệ lân cận đa hạt thay thế k-NN đơn hạt,Ứng dụng KNN + clustering; TPAMI 2024,Đã trong outline (Xie 2024 TPAMI 46c → nay 57c); top venue
