dataset,n,d,seed,fold,method,k_selected,selected_features,acc_3nn,acc_svm_rbf,time_reduct_sec,time_eval_sec
iris,150,4,0,1,pai,1,1,0.3333333333333333,0.5,0.7953890000000001,0.0017382910000378615
iris,150,4,0,1,pai,2,0|1,0.7666666666666667,0.8333333333333334,0.7953890000000001,0.0014671659999976328
iris,150,4,0,1,pai,3,0|1|2,0.9,0.9333333333333333,0.7953890000000001,0.0014770419999763362
iris,150,4,0,1,pai,4,0|1|2|3,0.9666666666666667,0.9666666666666667,0.7953890000000001,0.0013830419999862897
iris,150,4,0,1,nrs,1,3,0.9666666666666667,0.9666666666666667,0.0027141659999756484,0.0013269169999716723
iris,150,4,0,1,nrs,2,2|3,0.9666666666666667,0.9666666666666667,0.0027141659999756484,0.0013121669999804908
iris,150,4,0,1,nrs,3,0|2|3,0.9666666666666667,0.9666666666666667,0.0027141659999756484,0.0013500830000339192
iris,150,4,0,1,nrs,4,0|1|2|3,0.9666666666666667,0.9666666666666667,0.0027141659999756484,0.0013813340000297103
iris,150,4,0,1,relieff,1,3,0.9666666666666667,0.9666666666666667,0.017250541999999314,0.0013014580000003662
iris,150,4,0,1,relieff,2,2|3,0.9666666666666667,0.9666666666666667,0.017250541999999314,0.001319249999994554
iris,150,4,0,1,relieff,3,0|2|3,0.9666666666666667,0.9666666666666667,0.017250541999999314,0.0013585419999913029
iris,150,4,0,1,relieff,4,0|1|2|3,0.9666666666666667,0.9666666666666667,0.017250541999999314,0.0013710000000060063
iris,150,4,0,1,mutual_info,1,2,0.9666666666666667,1.0,0.0031970000000001164,0.0013114160000213815
iris,150,4,0,1,mutual_info,2,2|3,0.9666666666666667,0.9666666666666667,0.0031970000000001164,0.001308917000017118
iris,150,4,0,1,mutual_info,3,0|2|3,0.9666666666666667,0.9666666666666667,0.0031970000000001164,0.0013374580000231617
iris,150,4,0,1,mutual_info,4,0|1|2|3,0.9666666666666667,0.9666666666666667,0.0031970000000001164,0.001373542000010275
iris,150,4,0,1,variance,1,1,0.3333333333333333,0.5,1.35419999764963e-05,0.001478374999976495
iris,150,4,0,1,variance,2,1|2,0.9666666666666667,0.9666666666666667,1.35419999764963e-05,0.0013692919999925834
iris,150,4,0,1,variance,3,1|2|3,0.9666666666666667,0.9666666666666667,1.35419999764963e-05,0.0013646670000184713
iris,150,4,0,1,variance,4,0|1|2|3,0.9666666666666667,0.9666666666666667,1.35419999764963e-05,0.0013690839999753734
iris,150,4,0,1,pai_nrs,1,1,0.3333333333333333,0.5,0.7981031659999758,0.001450999999974556
iris,150,4,0,1,pai_nrs,2,1|3,0.9666666666666667,0.9666666666666667,0.7981031659999758,0.0013507499999718675
