dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
iris,150,4,120,0,pai,0,0.39511725306510925,8.724086671942894,120,20,2.0,1,0.749484667
iris,150,4,120,0,pai,1,0.7920213639736176,11.04944478041503,120,20,2.0,1,0.749484667
iris,150,4,120,0,pai,2,0.3553190231323242,6.70681637580517,120,20,2.0,1,0.749484667
iris,150,4,120,0,pai,3,0.29557666182518005,6.3183448459344405,120,20,2.0,1,0.749484667
iris,150,4,120,0,nrs,0,-0.05833333333333335,-1.0,-1,-1,2.0,1,0.0028429580000000065
iris,150,4,120,0,nrs,1,-0.050000000000000044,-1.0,-1,-1,2.0,1,0.0028429580000000065
iris,150,4,120,0,nrs,2,0.16666666666666663,-1.0,-1,-1,2.0,1,0.0028429580000000065
iris,150,4,120,0,nrs,3,0.23333333333333328,-1.0,-1,-1,2.0,1,0.0028429580000000065
iris,150,4,120,0,relieff,0,0.13561342592592585,-1.0,-1,-1,2.0,1,0.01852200000000015
iris,150,4,120,0,relieff,1,0.1205381944444443,-1.0,-1,-1,2.0,1,0.01852200000000015
iris,150,4,120,0,relieff,2,0.35760593220339,-1.0,-1,-1,2.0,1,0.01852200000000015
iris,150,4,120,0,relieff,3,0.3725694444444445,-1.0,-1,-1,2.0,1,0.01852200000000015
iris,150,4,120,0,mutual_info,0,0.4822844956807695,-1.0,-1,-1,2.0,1,0.0033474169999998526
iris,150,4,120,0,mutual_info,1,0.2649008167626008,-1.0,-1,-1,2.0,1,0.0033474169999998526
iris,150,4,120,0,mutual_info,2,1.0039808948126705,-1.0,-1,-1,2.0,1,0.0033474169999998526
iris,150,4,120,0,mutual_info,3,1.0129527746962506,-1.0,-1,-1,2.0,1,0.0033474169999998526
iris,150,4,120,0,variance,0,0.9997553057862024,-1.0,-1,-1,2.0,1,1.620799999990652e-05
iris,150,4,120,0,variance,1,1.0225851617036108,-1.0,-1,-1,2.0,1,1.620799999990652e-05
iris,150,4,120,0,variance,2,0.9857840715440795,-1.0,-1,-1,2.0,1,1.620799999990652e-05
iris,150,4,120,0,variance,3,0.9785429256038861,-1.0,-1,-1,2.0,1,1.620799999990652e-05
