dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
iris,150,4,pai,1,3,0.15111111111111108,0.6486896551724138,60.693333333333335
iris,150,4,pai,1,5,0.19200000000000003,0.6553145539906103,60.693333333333335
iris,150,4,pai,1,10,0.266,0.6790681536555143,60.693333333333335
iris,150,4,pai,1,20,0.3906666666666666,0.7080139470013946,60.693333333333335
iris,150,4,pai,1,30,0.47222222222222227,0.7157278043593833,60.693333333333335
iris,150,4,pai,1,50,0.5517333333333333,0.7044438478747204,60.693333333333335
iris,150,4,pai,2,3,0.3377777777777778,0.9481532567049809,60.693333333333335
iris,150,4,pai,2,5,0.4,0.9560281690140845,60.693333333333335
iris,150,4,pai,2,10,0.5540000000000002,0.9614275092936803,60.693333333333335
iris,150,4,pai,2,20,0.6980000000000001,0.9665048814504882,60.693333333333335
iris,150,4,pai,2,30,0.7742222222222223,0.9714619883040936,60.693333333333335
iris,150,4,pai,2,50,0.8427999999999999,0.9749297539149888,60.693333333333335
iris,150,4,pai,3,3,0.6222222222222222,0.9901149425287357,60.693333333333335
iris,150,4,pai,3,5,0.6826666666666668,0.988225352112676,60.693333333333335
iris,150,4,pai,3,10,0.7813333333333334,0.9866666666666667,60.693333333333335
iris,150,4,pai,3,20,0.8390000000000001,0.9857154811715482,60.693333333333335
iris,150,4,pai,3,30,0.8766666666666667,0.9883934077618288,60.693333333333335
iris,150,4,pai,3,50,0.9227999999999997,0.9920912751677853,60.693333333333335
iris,150,4,pai,4,3,1.0,0.9999693486590038,60.693333333333335
iris,150,4,pai,4,5,1.0,0.999981220657277,60.693333333333335
iris,150,4,pai,4,10,1.0,0.999995043370508,60.693333333333335
iris,150,4,pai,4,20,1.0,1.0,60.693333333333335
iris,150,4,pai,4,30,1.0,1.0,60.693333333333335
iris,150,4,pai,4,50,1.0,0.9999982102908277,60.693333333333335
iris,150,4,nrs,1,3,0.07555555555555554,0.8038314176245211,60.693333333333335
iris,150,4,nrs,1,5,0.13466666666666663,0.8299718309859155,60.693333333333335
iris,150,4,nrs,1,10,0.25066666666666665,0.8527980173482033,60.693333333333335
iris,150,4,nrs,1,20,0.44333333333333336,0.8851018131101813,60.693333333333335
iris,150,4,nrs,1,30,0.5633333333333334,0.9087527910685805,60.693333333333335
iris,150,4,nrs,1,50,0.7550666666666667,0.9379275167785235,60.693333333333335
iris,150,4,nrs,2,3,0.1288888888888889,0.8671877394636015,60.693333333333335
iris,150,4,nrs,2,5,0.176,0.873981220657277,60.693333333333335
iris,150,4,nrs,2,10,0.308,0.8902403965303594,60.693333333333335
iris,150,4,nrs,2,20,0.501,0.9149651324965132,60.693333333333335
iris,150,4,nrs,2,30,0.611111111111111,0.9294056353003721,60.693333333333335
iris,150,4,nrs,2,50,0.7825333333333335,0.9504089485458613,60.693333333333335
iris,150,4,nrs,3,3,0.27999999999999997,0.9305287356321839,60.693333333333335
iris,150,4,nrs,3,5,0.36666666666666664,0.9286009389671361,60.693333333333335
iris,150,4,nrs,3,10,0.5,0.9357967781908303,60.693333333333335
iris,150,4,nrs,3,20,0.6573333333333333,0.9508005578800558,60.693333333333335
iris,150,4,nrs,3,30,0.7424444444444445,0.9588771929824561,60.693333333333335
iris,150,4,nrs,3,50,0.8496,0.963896196868009,60.693333333333335
iris,150,4,nrs,4,3,1.0,0.9999693486590038,60.693333333333335
iris,150,4,nrs,4,5,1.0,0.999981220657277,60.693333333333335
iris,150,4,nrs,4,10,1.0,0.999995043370508,60.693333333333335
iris,150,4,nrs,4,20,1.0,1.0,60.693333333333335
iris,150,4,nrs,4,30,1.0,1.0,60.693333333333335
iris,150,4,nrs,4,50,1.0,0.9999982102908277,60.693333333333335
